year,eve,night,,
1988,11,11,,
1989,17,12,,
1990,30,10,,
1991,11,31,,
1992,17,26,,
1993,16,30,,
1994,18,24,,
1995,10,38,,
1996,7,11,,
1997,7,9,,
,,,,
,,,,
,,,,
,,,,
